Gene Name	Accession-1	Product	GO terms (biological process)	GO terms (cellular component)	GO terms (molecular function)	UniProt	Synonyms
lgt	b2828	phosphatidylglycerol--prolipoprotein diacylglyceryl transferase	lipoprotein biosynthetic process	membrane // cytoplasmic side of plasma membrane // plasma membrane	transferase activity // phosphatidylglycerol-prolipoprotein diacylglyceryl transferase activity	P60955	umpA
thyA	b2827	thymidylate synthase	dTTP biosynthetic process // methylation // nucleotide biosynthetic process // regulation of translation // response to radiation // dTMP biosynthetic process	cytoplasm // cytosol	transferase activity, transferring one-carbon groups // transferase activity // methyltransferase activity // RNA binding // magnesium ion binding // protein homodimerization activity // thymidylate synthase activity	P0A884	
ppdA	b2826	prepilin-type N-terminal cleavage/methylation domain-containing protein PpdA		plasma membrane // membrane		P33554	
ppdB	b2825	prepilin-type N-terminal cleavage/methylation domain-containing protein PpdB	protein secretion by the type II secretion system	membrane // plasma membrane // cytosol		P08371	ygdC
ygdB	b2824	DUF2509 domain-containing protein YgdB		membrane		P08370	
ppdC	b2823	prepilin-type N-terminal cleavage/methylation domain-containing protein PpdC		membrane // plasma membrane		P08372	ygdA
recC	b2822	exodeoxyribonuclease V subunit RecC	recombinational repair // DNA duplex unwinding // clearance of foreign intracellular DNA // DNA damage response // DNA repair // double-strand break repair via homologous recombination // response to radiation // DNA recombination	cytosol // exodeoxyribonuclease V complex	DNA helicase activity // exonuclease activity // hydrolase activity // nuclease activity // helicase activity // ATP binding // nucleotide binding // DNA binding // protein binding // exodeoxyribonuclease V activity	P07648	
ptrA	b2821	protease 3	peptide catabolic process // hormone catabolic process // proteolysis involved in protein catabolic process // amyloid-beta metabolic process // proteolysis	cytosol // periplasmic space // cytoplasm // outer membrane-bounded periplasmic space	hydrolase activity // peptidase activity // zinc ion binding // metalloendopeptidase activity // metal ion binding // metallopeptidase activity	P05458	ptr
recB	b2820	exodeoxyribonuclease V subunit RecB	recombinational repair // DNA duplex unwinding // clearance of foreign intracellular DNA // DNA damage response // DNA repair // double-strand break repair via homologous recombination // response to radiation // DNA recombination	cytosol // exodeoxyribonuclease V complex	ATP hydrolysis activity // isomerase activity // 3'-5' DNA helicase activity // magnesium ion binding // metal ion binding // hydrolase activity // exonuclease activity // nuclease activity // helicase activity // nucleotide binding // DNA translocase activity // DNA endonuclease activity // ATP-dependent activity, acting on DNA // DNA binding // protein binding // ATP binding // DNA helicase activity // exodeoxyribonuclease V activity	P08394	ior // rorA
recD	b2819	exodeoxyribonuclease V subunit RecD	recombinational repair // DNA duplex unwinding // double-strand break repair // DNA damage response // DNA repair // double-strand break repair via homologous recombination // DNA recombination	exodeoxyribonuclease V complex // cytosol	isomerase activity // 5'-3' DNA helicase activity // ATP hydrolysis activity // DNA helicase activity // ATP binding // nucleotide binding // nuclease activity // exonuclease activity // hydrolase activity // DNA binding // exodeoxyribonuclease V activity // helicase activity // single-stranded DNA helicase activity	P04993	hopE
argA	b2818	N-acetylglutamate synthase	amino acid biosynthetic process // arginine biosynthetic process	cytoplasm // cytosol	acyltransferase activity, transferring groups other than amino-acyl groups // methione N-acyltransferase activity // acyltransferase activity // transferase activity // identical protein binding // glutamate N-acetyltransferase activity // acetyl-CoA:L-glutamate N-acetyltransferase activity	P0A6C5	Arg2 // Arg1
amiC	b2817	<i>N</i>-acetylmuramoyl-L-alanine amidase C	cytokinesis // cell wall organization // peptidoglycan catabolic process // cell division // FtsZ-dependent cytokinesis	periplasmic space // outer membrane-bounded periplasmic space	protein binding // hydrolase activity // N-acetylmuramoyl-L-alanine amidase activity	P63883	ygdN
metV	b2816	tRNA-initiator Met(CAU)		cytosol // cytoplasm	triplet codon-amino acid adaptor activity		metZbeta // metX // metZ-beta // metZb
metW	b2815	tRNA-initiator Met(CAU)		cytosol // cytoplasm	triplet codon-amino acid adaptor activity		
metZ	b2814	tRNA-initiator Met(CAU)		cytosol // cytoplasm	triplet codon-amino acid adaptor activity		metZalpha
mltA	b2813	membrane-bound lytic murein transglycosylase A	cell wall organization // peptidoglycan turnover // peptidoglycan metabolic process // peptidoglycan catabolic process	membrane // outer membrane // outer membrane-bounded periplasmic space // cell outer membrane	hydrolase activity, hydrolyzing O-glycosyl compounds // lyase activity // protein binding // lytic transglycosylase activity	P0A935	ygdM // mlt
tcdA	b2812	tRNA threonylcarbamoyladenosine dehydratase	cyclic threonylcarbamoyladenosine biosynthetic process	cytosol // membrane	ubiquitin-like modifier activating enzyme activity // ligase activity // ATP binding // nucleotide binding // potassium ion binding // sodium ion binding // protein homodimerization activity // tRNA threonylcarbamoyladenosine dehydratase // protein binding	Q46927	ygdL // csdL
csdE	b2811	sulfur acceptor protein CsdE	cyclic threonylcarbamoyladenosine biosynthetic process	cytosol	sulfur carrier activity // protein binding	P0AGF2	ygdK
csdA	b2810	cysteine sulfinate desulfinase	L-cysteine catabolic process // selenocysteine catabolic process // sulfur compound transport // cysteine metabolic process // iron-sulfur cluster assembly // sulfur amino acid metabolic process	L-cysteine desulfurase complex // cytosol	cysteine sulfinate desulfinase activity // hydrolase activity // transferase activity // selenocysteine lyase activity // catalytic activity // cysteine desulfurase activity // lyase activity // sulfurtransferase activity // pyridoxal phosphate binding // protein binding	Q46925	ygdJ
ygdI	b2809	DUF903 domain-containing lipoprotein YgdI		plasma membrane // membrane // outer membrane-bounded periplasmic space		P65292	
gcvA	b2808	DNA-binding transcriptional dual regulator GcvA	regulation of DNA-templated transcription // response to UV // DNA-templated transcription	cytoplasm // cytosol	sequence-specific DNA binding // DNA binding // DNA-binding transcription factor activity	P0A9F6	
ygdD	b2807	DUF423 domain-containing inner membrane protein YgdD		membrane // plasma membrane		P0ADR2	
rlmM	b2806	23S rRNA 2'-<i>O</i>-ribose C2498 methyltransferase	rRNA methylation // methylation // rRNA processing	cytosol // cytoplasm	S-adenosylmethionine-dependent methyltransferase activity // transferase activity // methyltransferase activity // rRNA (cytosine-2'-O-)-methyltransferase activity	P0ADR6	ygdE
fucR	b2805	DNA-binding transcriptional activator FucR	regulation of DNA-templated transcription // fucose metabolic process // regulation of fucose catabolic process	cytosol	DNA-binding transcription factor activity // DNA binding // ligand-activated transcription factor activity	P0ACK8	
fucU	b2804	L-fucose mutarotase	fucosylation // L-fucose metabolic process // monosaccharide metabolic process // fucose metabolic process	cytosol // cytoplasm	D-ribose pyranase activity // monosaccharide binding // racemase and epimerase activity // isomerase activity // fucose binding // identical protein binding // L-fucose mutarotase activity // racemase and epimerase activity, acting on carbohydrates and derivatives	P0AEN8	
fucK	b2803	L-fuculokinase	glycerol metabolic process // rhamnose catabolic process // carbohydrate phosphorylation // fucose catabolic process // fucose metabolic process // carbohydrate metabolic process // phosphorylation // L-fucose catabolic process // D-arabinose catabolic process	cytosol	glycerol kinase activity // phosphotransferase activity, alcohol group as acceptor // transferase activity // kinase activity // ATP binding // nucleotide binding // L-fuculokinase activity	P11553	
fucI	b2802	L-fucose isomerase	fucose catabolic process // fucose metabolic process // monosaccharide metabolic process // D-arabinose catabolic process // L-fucose catabolic process	cytoplasm // cytosol	identical protein binding // intramolecular oxidoreductase activity, interconverting aldoses and ketoses // isomerase activity // manganese ion binding // metal ion binding // L-fucose isomerase activity // arabinose isomerase activity	P69922	
fucP	b2801	L-fucose:H+ symporter	organic substance transport // transmembrane transport // fucose metabolic process // fructose transmembrane transport // fucose transmembrane transport // galactose transmembrane transport // arabinose transmembrane transport	membrane // plasma membrane	transmembrane transporter activity // symporter activity // fucose transmembrane transporter activity // arabinose:proton symporter activity // galactose:proton symporter activity // fucose:proton symporter activity // hexose:proton symporter activity	P11551	
fucA	b2800	L-fuculose-phosphate aldolase	monosaccharide metabolic process // arabinose catabolic process // pentose catabolic process // fucose catabolic process // fucose metabolic process // L-fucose catabolic process // D-arabinose catabolic process	cytosol	carbon-carbon lyase activity // lyase activity // zinc ion binding // metal ion binding // aldehyde-lyase activity // L-fuculose-phosphate aldolase activity	P0AB87	fucC // prd
fucO	b2799	L-1,2-propanediol oxidoreductase	fucose catabolic process // fucose metabolic process // L-fucose catabolic process // rhamnose catabolic process // glycol catabolic process // propanediol metabolic process	cytosol	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor // nucleotide binding // R-lactaldehyde reductase activity // S-lactaldehyde reductase activity // alcohol dehydrogenase (NAD+) activity // metal ion binding // oxidoreductase activity // protein homodimerization activity // ferrous iron binding // lactaldehyde reductase activity	P0A9S1	
ygdG	b2798	flap endonuclease	DNA replication, Okazaki fragment processing	cytosol	hydrolase activity, acting on ester bonds // flap endonuclease activity // potassium ion binding // 5'-flap endonuclease activity // hydrolase activity // endonuclease activity // nuclease activity // magnesium ion binding // catalytic activity // DNA binding // metal ion binding // protein binding	P38506	xni // exo
sdaB	b2797	L-serine deaminase II	gluconeogenesis // L-serine catabolic process	cytosol	lyase activity // 4 iron, 4 sulfur cluster binding // iron-sulfur cluster binding // metal ion binding // L-serine ammonia-lyase activity	P30744	
sdaC	b2796	L-serine:H+ symporter	amino acid transport // amino acid transmembrane transport // L-serine transport	membrane // plasma membrane	symporter activity // amino acid transmembrane transporter activity // L-serine transmembrane transporter activity	P0AAD6	dcrA
ppnN	b2795	nucleotide 5'-monophosphate nucleosidase	protein homotetramerization	protein-containing complex // cytosol	hydrolase activity // inosinate nucleosidase activity // identical protein binding // guanosine tetraphosphate binding // AMP nucleosidase activity // pyrimidine-5'-nucleotide nucleosidase activity	P0ADR8	ygdH
queF	b2794	7-cyano-7-deazaguanine reductase	queuosine biosynthetic process	cytoplasm // cytosol	oxidoreductase activity // oxidoreductase activity, acting on other nitrogenous compounds as donors, with NAD or NADP as acceptor // preQ1 synthase activity	Q46920	yqcD
syd	b2793	SecY-interacting protein	regulation of protein-containing complex assembly	membrane // cytoplasmic side of plasma membrane // plasma membrane // cytosol // cytoplasm	protein binding	P0A8U0	ydr
